company_name,phone,street,city,state,zip
DeKalb Partners,(404) 555-0183,125 Clairemont Ave,Decatur,GA,30030
Augusta Canal Systems,(706) 555-0427,560 Reynolds St,Augusta,GA,30901
Capitol City Advisors,(850) 555-0261,200 S Monroe St,Tallahassee,FL,32301
Central Florida Nexus,(407) 555-0349,390 N Orange Ave,Orlando,FL,32801
Sunbay Solutions,(813) 555-0182,400 N Ashley Dr,Tampa,FL,33602
Palm Beach Capital,(561) 555-0437,777 S Flagler Dr,West Palm Beach,FL,33401
Broward Analytics,(954) 555-0291,200 SE 6th Ave,Fort Lauderdale,FL,33301
Brickell Group,(305) 555-0518,1200 Brickell Ave,Miami,FL,33131
Gulf Harbor Partners,(239) 555-0174,12800 University Dr,Fort Myers,FL,33907
Sarasota Bay Consulting,(941) 555-0362,1800 2nd St,Sarasota,FL,34236
Space Coast Ventures,(321) 555-0419,505 Brevard Ave,Cocoa,FL,32922
Daytona Motorsport Media,(386) 555-0183,126 N Beach St,Daytona Beach,FL,32114
Marion County Systems,(352) 555-0274,310 SE 26th Terrace,Ocala,FL,34471
Putnam River Corp,(386) 555-0521,400 Reid St,Palatka,FL,32177
Clearwater Bay Group,(727) 555-0349,600 Cleveland St,Clearwater,FL,33755
Lakeland Logistics,(863) 555-0192,228 S Florida Ave,Lakeland,FL,33801
Treasure Coast Partners,(772) 555-0437,2525 St Lucie Ave,Vero Beach,FL,32960
Cape Canaveral Tech,(321) 555-0281,7800 N Atlantic Ave,Cape Canaveral,FL,32920
Sand Lake Advisors,(407) 555-0348,8680 Commodity Cir,Orlando,FL,32819
Kendall Business Group,(305) 555-0463,11011 SW 104th St,Miami,FL,33176
Coconut Grove Media,(305) 555-0174,3300 Mary St,Coconut Grove,FL,33133
Plantation Analytics,(954) 555-0291,400 NW 73rd Ave,Plantation,FL,33317
Gardens Capital,(561) 555-0382,3801 PGA Blvd,Palm Beach Gardens,FL,33410
International Drive Corp,(407) 555-0519,8969 International Dr,Orlando,FL,32819
Tampa Bay Ventures,(813) 555-0243,4830 W Kennedy Blvd,Tampa,FL,33609
Ringling Coast Group,(941) 555-0374,1626 Ringling Blvd,Sarasota,FL,34236
Wynwood Partners,(786) 555-0428,2100 NW 2nd Ave,Miami,FL,33127
Doral Solutions,(305) 555-0316,8200 NW 41st St,Doral,FL,33166
Boca Raton Capital,(561) 555-0187,6801 N Federal Hwy,Boca Raton,FL,33487
Delray Digital,(561) 555-0472,33 SE 4th Ave,Delray Beach,FL,33444
Boynton Group,(561) 555-0238,100 E Boynton Beach Blvd,Boynton Beach,FL,33435
Sunrise Systems,(954) 555-0391,1601 NW 136th Ave,Sunrise,FL,33323
Coral Springs Tech,(954) 555-0157,9551 W Sample Rd,Coral Springs,FL,33065
Pembroke Analytics,(954) 555-0483,601 City Center Way,Pembroke Pines,FL,33025
Miramar Consulting,(954) 555-0229,6700 Miramar Pkwy,Miramar,FL,33023
Hialeah Business Group,(305) 555-0364,501 Palm Ave,Hialeah,FL,33010
